Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
02-927;200923;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;BLUELAB Laboratorio Biología Molecular;No Aplica;Privado;No Aplica;01101;Iquique;Avenida;103;Bernardo O’Higgins, 5° piso, of. 504-505;600 718 6000;44054;NO;No Aplica;No Aplica;-20,21728;-70,147915;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-219;102219;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Carabineros de Iquique;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;01101;Iquique;Calle;1105;Pedro Lagos;572557040;39814;NO;No Aplica;No Aplica;-20,216887;-70,155056;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-241;102241;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Costanera;No Aplica;Privado;No Aplica;01101;Iquique;Calle;1090;Pedro Lagos;572332877;39814;NO;No Aplica;No Aplica;-20,216192;-70,154678;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-235;102235;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Iquilab;No Aplica;Privado;No Aplica;01101;Iquique;Calle;800;Latorre con Obispo Labbé;572391242;39814;NO;No Aplica;No Aplica;-20,215864;-70,150174;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-217;102217;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Naval de Iquique;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;01101;Iquique;Pasaje;1055;Isaza;572517187;39814;NO;No Aplica;No Aplica;-20,215357;-70,156666;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-030;102030;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Unidad de Salud Funcionarios ;Unidad de Atención;Unidad de Salud Funcionario  S.S. Iquique;No Aplica;Servicio de Salud;Secundario;01101;Iquique;Calle;815;Aníbal Pinto;;44225;NO;No Aplica;No Aplica;-20,215119;-70,152317;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-010;102010;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Dirección Servicio de Salud;Unidad de Atención;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique);No Aplica;Servicio de Salud;No Aplica;01101;Iquique;Calle;815;Aníbal Pinto;;38716;NO;No Aplica;No Aplica;-20,215119;-70,152317;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-011;102011;02-010;102010;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Programa de Reparación y Atención Integral de Salud (PRAIS);Programa de Atención ;PRAIS (S.S. Iquique);No Aplica;Servicio de Salud;No Aplica;01101;Iquique;Calle;815;Aníbal Pinto;;38716;NO;No Aplica;No Aplica;-20,215119;-70,152317;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-100;102100;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Ernesto Torres Galdames (Iquique);Autogestionado en Red ( EAR);Servicio de Salud;Terciario;01101;Iquique;Calle;502;Héroes de la Concepción;572575861;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-20,214354;-70,138931;Público ;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
22-254;200300;;;14;Región De Los Ríos;14;SEREMI De Los Ríos;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental Valdivia;No Aplica;Privado;No Aplica;14101;Valdivia;Calle;365;Ismael Valdés;;42348;NO;No Aplica;No Aplica;-39,813023;-73,242471;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-600;102600;02-010;102010;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Dr. Jorge Seguel Cáceres;No Aplica;Servicio de Salud;Secundario;01101;Iquique;Calle;493;Serrano;572613668;38716;NO;No Aplica;No Aplica;-20,213349;-70,150415;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-228;102228;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Bionet S.A. - Iquique;No Aplica;Privado;No Aplica;01101;Iquique;Calle;385;San Martín;572425174;39814;NO;No Aplica;No Aplica;-20,21276;-70,151481;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-222;102222;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Atención Instituto de Seguridad del Trabajador Iquique;No Aplica;Privado;Secundario;01101;Iquique;Calle;261;Patricio Lynch;572425667;39814;NO;No Aplica;No Aplica;-20,211755;-70,151337;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-231;102231;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Clinicum Laboratorio Automatizado Ltda.;No Aplica;Privado;No Aplica;01101;Iquique;Calle;731;Esmeralda;572496331;39814;NO;No Aplica;No Aplica;-20,211749;-70,148042;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-901;200190;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Centro de Cumplimiento Penitenciario Iquique;No Aplica;Gendamería;Secundario;01101;Iquique;Calle;;Estación;572407900;36649;NO;No Aplica;No Aplica;-20,209289;-70,149075;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-701;102701;02-301;102301;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Cerro Esmeralda;No Aplica;Municipal;Primario;01101;Iquique;Calle;;Ferrocarril;;38716;NO;No Aplica;No Aplica;-20,208964;-70,140539;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-801;102801;02-301;102301;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Cirujano Videla;No Aplica;Municipal;Primario;01101;Iquique;Calle;;Obispo Labbé;572329704;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-20,208468;-70,150327;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-301;102301;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Cirujano Videla;Centro de Salud Familiar;Municipal;Primario;01101;Iquique;Calle;;Obispo Labbé;800500107;38716;NO;No Aplica;No Aplica;-20,208263;-70,15017;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-914;200579;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de la Compañía Minera Cerro Colorado S.A.;No Aplica;Privado;Secundario;01401;Pozo Almonte;Calle;;Camino a Mamiña, campamento minero Cerro Colorado;572404200;40709;NO;No Aplica;No Aplica;-20,072856;-69,275229;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-403;102403;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Mamiña;No Aplica;Municipal;Primario;01401;Pozo Almonte;Calle;;Santa Rosa;;38716;NO;No Aplica;No Aplica;-20,071834;-69,216242;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-308;102308;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Amador Neghme Rodríguez;Centro de Salud Familiar;Municipal;Primario;01404;Huara;Calle;;Eleuterio Ramírez;;38716;NO;No Aplica;No Aplica;-19,995472;-69,768842;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-900;200096;02-308;102308;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Huara;No Aplica;Municipal;Primario;01404;Huara;Calle;;Ramírez;572751590;41372;SI;Urgencia Ambulatoria (SAPU);Corto;-19,995399;-69,768747;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-920;200754;02-402;102402;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Tarapacá;No Aplica;Municipal;Primario;01404;Huara;Calle;;Caserío de Tarapacá;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-19,924305;-69,511533;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-402;102402;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Tarapacá;No Aplica;Municipal;Primario;01404;Huara;Calle;;Caserío de Tarapacá;;38716;NO;No Aplica;No Aplica;-19,922956;-69,510945;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-909;200474;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Pachica;No Aplica;Municipal;Primario;01404;Huara;Avenida;;Comercio, esquina 18 de septiembre;;43147;NO;No Aplica;No Aplica;-19,865844;-69,432532;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-411;102411;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cancosa;No Aplica;Municipal;Primario;01405;Pica;Calle;;Caserío de Cancosa;;38716;NO;No Aplica;No Aplica;-19,855032;-68,60098;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-410;102410;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Sibaya;No Aplica;Municipal;Primario;01404;Huara;Calle;;Caserío de Sibaya;;38716;NO;No Aplica;No Aplica;-19,782783;-69,173111;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-400;102400;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Pisagua;No Aplica;Municipal;Primario;01404;Huara;Avenida;;Arturo Prat;;38716;NO;No Aplica;No Aplica;-19,596489;-70,211257;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-407;102407;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chiapa;No Aplica;Municipal;Primario;01404;Huara;Calle;;Caserío de Chiapa;;38716;NO;No Aplica;No Aplica;-19,536694;-69,206154;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-415;102415;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cariquima;No Aplica;Municipal;Primario;01403;Colchane;Calle;;Sector de Cariquima;;38716;NO;No Aplica;No Aplica;-19,469199;-68,644818;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-919;200753;02-415;102415;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Cariquima;No Aplica;Municipal;Primario;01403;Colchane;Calle;;Sector de Cariquima;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-19,469182;-68,644846;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-408;102408;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Moquella;No Aplica;Municipal;Primario;01402;Camiña;Calle;;Caserío de Moquella;;38716;NO;No Aplica;No Aplica;-19,350759;-69,514402;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-309;102309;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Camiña;Centro de Salud Familiar;Municipal;Primario;01402;Camiña;Calle;;Caserío de Camiña;;38716;NO;No Aplica;No Aplica;-19,312955;-69,427385;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-922;200756;02-309;102309;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Camiña;No Aplica;Municipal;Primario;01402;Camiña;Calle;;Caserío de Camiña;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-19,312365;-69,426272;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-918;200752;02-310;102310;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Colchane;No Aplica;Municipal;Primario;01403;Colchane;Calle;;Sector de Colchane;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-19,276089;-68,636574;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-310;102310;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Colchane;Centro de Salud Familiar;Municipal;Primario;01403;Colchane;Calle;;Sector de Colchane;;38716;NO;No Aplica;No Aplica;-19,275067;-68,640207;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-409;102409;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Enquelga;No Aplica;Municipal;Primario;01403;Colchane;Calle;;Sector Enquelga;;38716;NO;No Aplica;No Aplica;-19,228739;-68,804105;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
01-406;101406;;;15;Región De Arica Parinacota;1;Servicio de Salud Arica y Parinacota;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Codpa;No Aplica;Municipal;Primario;15102;Camarones;Calle;;Caserío de Codpa;;38716;NO;No Aplica;No Aplica;-18,833227;-69,744859;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
01-407;101407;;;15;Región De Arica Parinacota;1;Servicio de Salud Arica y Parinacota;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Ticnamar;No Aplica;Municipal;Primario;15201;Putre;Calle;;Caserío de Tignamar;;38716;NO;No Aplica;No Aplica;-18,581705;-69,494396;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
01-408;101408;;;15;Región De Arica Parinacota;1;Servicio de Salud Arica y Parinacota;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Sobraya;No Aplica;Municipal;Primario;15101;Arica;Calle;;Valle de Azapa, Km. 27;;38716;NO;No Aplica;No Aplica;-18,574218;-70,055819;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
01-923;201017;;;15;Región De Arica Parinacota;15;SEREMI De Arica y Parinacota;No perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Complejo Penitenciario Femenino de Arica;No Aplica;Gendamería;;15101;Arica;Ruta A-5 km; 2063;Cuesta de  Ancha;582386433;44223;NO;No Aplica;No Aplica;-18,548566;-70,248665;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
01-215;101215;;;15;Región De Arica Parinacota;15;SEREMI De Arica y Parinacota;No perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Complejo Penitenciario;No Aplica;Gendamería;;15101;Arica;Calle;;Cuesta de Acha;582203400;39814;NO;No Aplica;No Aplica;-18,544416;-70,250049;Fuerzas Armadas y de Orden;Vigente en operación habitual;;Atención Cerrada-Hospitalaria;
01-400;101400;;;15;Región De Arica Parinacota;1;Servicio de Salud Arica y Parinacota;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural San Miguel de Azapa;No Aplica;Municipal;Primario;15101;Arica;Calle;;Valle de Azapa, Km. 2;;38716;NO;No Aplica;No Aplica;-18,518294;-70,17858;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
